"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","GiftStore ","14","0","","0"
"0","","0","Cart Feature","6","0","","0"
"0","","0","E-voucher Category","1","0","","0"
"0","","0","Distribute points","1","0","","0"
"0","","0","Electronic Category","1","0","","0"
"0","","0","Stationary Category","1","0","","0"
"0","","0","Earn ","2","0","","0"
"0","","0","Post","1","0","","0"
"0","","0","Lifetime Points","1","0","","0"
"0","","0","Fitness Category","1","0","","0"
"0","","0","Login","1","0","","0"
"0","","0","GiftStore","2","0","","0"
"0","","0","Searching","1","0","","0"
"0","","0","Book Category","1","0","","0"
"0","","0","Plants Category","1","0","","0"
"0","","0","Apply Button","1","0","","0"
"0","","0","Available Points","1","0","","0"
"0","","0","Cloths Category","1","0","","0"
"0","","0","Badges","1","0","","0"
"0","","0","Home Appliances Category","1","0","","0"
