"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test attempts to verify the product all present in application validate with API","829","verify a view all product with API data source","Smoke Test","Wed Mar 19 00:36:26 PDT 2025","passed","Wed Mar 19 00:36:27 PDT 2025","Testcase.Scenario_03.giftStoreTest","Scenario 3 GiftStore","Testcase.Scenario_03.giftStoreTest","VerifyLocationProduct"
"This test attempts to verify the product of E-voucher category with API response to ensure all productsare in application","5719","Verify E-voucher category product of location based with API data source","Smoke Test","Wed Mar 19 00:37:03 PDT 2025","passed","Wed Mar 19 00:37:09 PDT 2025","Testcase.Scenario_03.giftStoreTest","Scenario 3 GiftStore","Testcase.Scenario_03.giftStoreTest","verifyE_voucherCategory"
"This test attempts check the Distribute points on dashboard","328","Verify the Distribute points validate with API Response","Smoke Test","Wed Mar 19 00:35:16 PDT 2025","passed","Wed Mar 19 00:35:16 PDT 2025","Testcase.Scenario_01.dashBoardTest","Scenario 1 Login Test Dashboard","Testcase.Scenario_01.dashBoardTest","CP_TC_05_verifyDistributePoints"
"This test attempts to verify the product of electronic category with API response to ensure all productsare in application","5257","Verify Electronic category product of location based with API data source","Smoke Test","Wed Mar 19 00:36:37 PDT 2025","passed","Wed Mar 19 00:36:42 PDT 2025","Testcase.Scenario_03.giftStoreTest","Scenario 3 GiftStore","Testcase.Scenario_03.giftStoreTest","verifyElectronicCategory"
"This test attempts to verify the product of stationary category with API response to ensure all productsare in application","5151","Verify stationary category product of location based with API data source","Smoke Test","Wed Mar 19 00:36:53 PDT 2025","passed","Wed Mar 19 00:36:58 PDT 2025","Testcase.Scenario_03.giftStoreTest","Scenario 3 GiftStore","Testcase.Scenario_03.giftStoreTest","verifyStationaryCategory"
"This test attempts to verify All posts present in respective categories","7110","verify the posts data cross check with Database ","Smoke Test","Wed Mar 19 00:37:55 PDT 2025","passed","Wed Mar 19 00:38:02 PDT 2025","Testcase.Scenario_05.earnPageTest","Scenario 5 earn ","Testcase.Scenario_05.earnPageTest","sample"
"This test attempts verify total points,sub-total and Remaining points in cart page by adding product in cart ensure calculation displaying or not","7561","Verify total points,sub-total and Remaining points in cart page","Smoke Test","Wed Mar 19 00:37:35 PDT 2025","passed","Wed Mar 19 00:37:43 PDT 2025","Testcase.Scenario_04.cartPageTest","Scenario 4 Cart feature","Testcase.Scenario_04.cartPageTest","VerifyPointsCart"
"This test attempts check the Lifetime points on dashboard","111","Verify the Lifetime points validate with API Response","Smoke Test","Wed Mar 19 00:35:15 PDT 2025","passed","Wed Mar 19 00:35:15 PDT 2025","Testcase.Scenario_01.dashBoardTest","Scenario 1 Login Test Dashboard","Testcase.Scenario_01.dashBoardTest","CP_TC_03_verifyLifeTimePoints"
"This test attempts verifies of name and points the product after I add it to the cart  and verify success message","12743","Verify the product after I add it to the cart and check add to cart success message. ","Smoke Test","Wed Mar 19 00:37:20 PDT 2025","passed","Wed Mar 19 00:37:33 PDT 2025","Testcase.Scenario_04.cartPageTest","Scenario 4 Cart feature","Testcase.Scenario_04.cartPageTest","VerifyAddProductInCart"
"This test attempts to verify the product of Fitness category with API response to ensure all productsare in application","5230","Verify Fitness category product of location based with API data source","Smoke Test","Wed Mar 19 00:36:42 PDT 2025","passed","Wed Mar 19 00:36:48 PDT 2025","Testcase.Scenario_03.giftStoreTest","Scenario 3 GiftStore","Testcase.Scenario_03.giftStoreTest","verifyFitnessCategory"
"This test attempts the log into the Website and verify with dashboard user name and profile section user name","2287","Verify login page","Smoke Test","Wed Mar 19 00:35:12 PDT 2025","passed","Wed Mar 19 00:35:15 PDT 2025","Testcase.Scenario_01.dashBoardTest","Scenario 1 Login Test Dashboard","Testcase.Scenario_01.dashBoardTest","VerifyUserName"
"This test attempts the Searching features display accurate product by passing valid product name","56538","verify Searching","Smoke Test","Wed Mar 19 00:35:30 PDT 2025","passed","Wed Mar 19 00:36:26 PDT 2025","Testcase.Scenario_03.giftStoreTest","Scenario 3 GiftStore","Testcase.Scenario_03.giftStoreTest","VerifySearchingFeature"
"This test attempts to verify the product of book category with API response to ensure all productsare in application","5145","Verify Book category product of location based with API data source","Smoke Test","Wed Mar 19 00:36:27 PDT 2025","passed","Wed Mar 19 00:36:32 PDT 2025","Testcase.Scenario_03.giftStoreTest","Scenario 3 GiftStore","Testcase.Scenario_03.giftStoreTest","VerifyBookCategory"
"This test attempts to verify the product of Plants category with API response to ensure all productsare in application","5043","Verify Plants category product of location based with API data source","Smoke Test","Wed Mar 19 00:36:48 PDT 2025","passed","Wed Mar 19 00:36:53 PDT 2025","Testcase.Scenario_03.giftStoreTest","Scenario 3 GiftStore","Testcase.Scenario_03.giftStoreTest","verifyPlantsCategory"
"This test attempts to check the functionality of the Claim button to redirect and ensure the gift store URL is correct","1401","Check Claim button functionality","Smoke Test","Wed Mar 19 00:35:16 PDT 2025","passed","Wed Mar 19 00:35:18 PDT 2025","Testcase.Scenario_01.dashBoardTest","Scenario 1 Login Test Dashboard","Testcase.Scenario_01.dashBoardTest","CP_TC_06_checkCLiamButton"
"This test attempts to verify the Apply button's functionality","28328","verify the Apply button to Successfully Apply the Event","Smoke Test","Wed Mar 19 00:38:02 PDT 2025","passed","Wed Mar 19 00:38:30 PDT 2025","Testcase.Scenario_05.earnPageTest","Scenario 5 earn ","Testcase.Scenario_05.earnPageTest","VerifyApplyButton"
"This test attempts verifies empty cart section user message","932","verify a product in empty Cart section","Smoke Test","Wed Mar 19 00:37:19 PDT 2025","passed","Wed Mar 19 00:37:20 PDT 2025","Testcase.Scenario_04.cartPageTest","Scenario 4 Cart feature","Testcase.Scenario_04.cartPageTest","VerifyCartMessage"
"This test attempts verify checkout the product by choosing other option to enter address,pin code and phone number details","1043","Verify the Checkout product ","Smoke Test","Wed Mar 19 00:37:43 PDT 2025","passed","Wed Mar 19 00:37:44 PDT 2025","Testcase.Scenario_04.cartPageTest","Scenario 4 Cart feature","Testcase.Scenario_04.cartPageTest","VerifyCheckProduct"
"This test attempts check the Available points on Dashboard page and check API response","140","Validate the Available points with API","Smoke Test","Wed Mar 19 00:35:15 PDT 2025","passed","Wed Mar 19 00:35:15 PDT 2025","Testcase.Scenario_01.dashBoardTest","Scenario 1 Login Test Dashboard","Testcase.Scenario_01.dashBoardTest","CP_TC_02_verifyAvailablePoints"
"This test attempts verify delete feature in cart and cross check with empty cart message display or not","2417","Verify the product delete. ","Smoke Test","Wed Mar 19 00:37:33 PDT 2025","passed","Wed Mar 19 00:37:35 PDT 2025","Testcase.Scenario_04.cartPageTest","Scenario 4 Cart feature","Testcase.Scenario_04.cartPageTest","VerifyDeleteProductInCart"
"This test attempts to verify the product of clothes category with API response to ensure all productsare in application","5132","Verify Cloths category product of location based with API data source","Smoke Test","Wed Mar 19 00:36:32 PDT 2025","passed","Wed Mar 19 00:36:37 PDT 2025","Testcase.Scenario_03.giftStoreTest","Scenario 3 GiftStore","Testcase.Scenario_03.giftStoreTest","VerifyClothsCategory"
"This test attempts check the Badges on dashboard","797","Verify the Badges validate with API Response","Smoke Test","Wed Mar 19 00:35:15 PDT 2025","passed","Wed Mar 19 00:35:16 PDT 2025","Testcase.Scenario_01.dashBoardTest","Scenario 1 Login Test Dashboard","Testcase.Scenario_01.dashBoardTest","CP_TC_04_verifyBadges"
"This test attempts to verify the product of Home appliances category with API response to ensure all productsare in application","5336","Verify Home appliances category product of location based with API data source","Smoke Test","Wed Mar 19 00:36:58 PDT 2025","passed","Wed Mar 19 00:37:03 PDT 2025","Testcase.Scenario_03.giftStoreTest","Scenario 3 GiftStore","Testcase.Scenario_03.giftStoreTest","verifyHomeApplianceCategory"
